ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
01181521,BCO COOPERATIVO SICREDI S.A.                                ,748,Sim,RSFN,BANCO COOPERATIVO SICREDI S.A.                                                  ,22/04/2002
01330387,CREHNOR LARANJEIRAS                                         ,350,Não,RSFN,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE,27/05/2020
01522368,BCO BNP PARIBAS BRASIL S A                                  ,752,Sim,RSFN,Banco BNP Paribas Brasil S.A.                                                   ,22/04/2002
01658426,CECM COOPERFORTE                                            ,379,Não,RSFN,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU,01/09/2020
01701201,KIRTON BANK                                                 ,399,Não,RSFN,Kirton Bank S.A. - Banco Múltiplo                                               ,22/04/2002
01800019,PORTOCRED S.A. - CFI                                        ,108,Não,RSFN,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO                          ",03/11/2011
01852137,BBC LEASING                                                 ,378,Não,RSFN,BBC LEASING S.A. - ARRENDAMENTO MERCANTIL                                       ,11/09/2020
01858774,BCO BV S.A.                                                 ,413,Não,RSFN,BANCO BV S.A.                                                                   ,21/05/2021
02038232,BANCO SICOOB S.A.                                           ,756,Sim,RSFN,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB                                    ,22/04/2002
02276653,TRINUS CAPITAL DTVM                                         ,360,Não,RSFN,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.              ,16/07/2020
02318507,BCO KEB HANA DO BRASIL S.A.                                 ,757,Sim,RSFN,BANCO KEB HANA DO BRASIL S.A.                                                   ,22/04/2002
02332886,XP INVESTIMENTOS CCTVM S/A                                  ,102,Não,RSFN,"XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A          ",22/11/2011
02398976,UNIPRIME NORTE DO PARANÁ - CC                               ,084,Sim,RSFN,UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA                          ,24/11/2009
02685483,CM CAPITAL MARKETS CCTVM LTDA                               ,180,Não,RSFN,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA      ",20/01/2017
02801938,BCO MORGAN STANLEY S.A.                                     ,066,Não,RSFN,BANCO MORGAN STANLEY S.A.                                                       ,22/04/2002
02819125,UBS BRASIL CCTVM S.A.                                       ,015,Não,RSFN,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.              ",15/03/2011
02992317,TREVISO CC S.A.                                             ,143,Não,RSFN,Treviso Corretora de Câmbio S.A.                                                ,24/08/2015
02992335,CIP Siloc                          ,n/a,Não,RSFN,Câmara Interbancária de Pagamentos - CIP - LDL                                  ,13/02/2004
03012230,HIPERCARD BM S.A.                                           ,062,Sim,RSFN,Hipercard Banco Múltiplo S.A.                                                   ,22/04/2002
03017677,BCO. J.SAFRA S.A.                                           ,074,Sim,RSFN,Banco J. Safra S.A.                                                             ,26/08/2004
03046391,UNIPRIME CENTRAL CCC LTDA.                                  ,099,Sim,RSFN,UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.       ,11/01/2011
03215790,BCO TOYOTA DO BRASIL S.A.                                   ,387,Não,RSFN,Banco Toyota do Brasil S.A.                                                     ,21/07/2020
03311443,PARATI - CFI S.A.                                           ,326,Não,RSFN,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.                             ",07/01/2020
03323840,BCO ALFA S.A.                                               ,025,Sim,RSFN,Banco Alfa S.A.                                                                 ,22/04/2002
03502968,PI DTVM S.A.                                                ,315,Não,RSFN,PI Distribuidora de Títulos e Valores Mobiliários S.A.                          ,24/01/2019
03532415,BCO ABN AMRO S.A.                                           ,075,Não,RSFN,Banco ABN Amro S.A.                                                             ,11/11/2005
03609817,BCO CARGILL S.A.                                            ,040,Não,RSFN,Banco Cargill S.A.                                                              ,22/04/2002
03751794,TERRA INVESTIMENTOS DTVM                                    ,307,Não,RSFN,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.        ,25/10/2018
03881423,SOCINAL S.A. CFI                                            ,425,Não,RSFN,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            ",27/07/2021
03973814,SERVICOOP                                                   ,190,Não,RSFN,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRAN,16/10/2017
04062902,VISION S.A. CC                                              ,296,Não,RSFN,VISION S.A. CORRETORA DE CAMBIO                                                 ,11/02/2019
04184779,BANCO BRADESCARD                                            ,063,Sim,RSFN,Banco Bradescard S.A.                                                           ,22/04/2002
04257795,NOVA FUTURA CTVM LTDA.                                      ,191,Não,RSFN,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.                    ,22/06/2017
04307598,FIDUCIA SCMEPP LTDA                                         ,382,Não,RSFN,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L,31/07/2020
04332281,GOLDMAN SACHS DO BRASIL BM S.A                              ,064,Não,RSFN,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.                                     ,22/04/2002
04391007,CAMARA INTERBANCARIA DE PAGAMENTOS - CIP                    ,n/a,Não,RSFN,Câmara Interbancária de Pagamentos                                              ,27/11/2002
04632856,CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.           ,097,Sim,RSFN,Credisis - Central de Cooperativas de Crédito Ltda.                             ,08/02/2011
04715685,CCM DESP TRÂNS SC E RS                                      ,016,Não,RSFN,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI,08/05/2012
04814563,BCO SOROCRED S.A. - BM                                      ,299,Não,RSFN,BANCO SOROCRED S.A. - BANCO MÚLTIPLO                                            ,03/12/2018
04866275,BANCO INBURSA                                               ,012,Não,RSFN,Banco Inbursa S.A.                                                              ,04/05/2017
04902979,BCO DA AMAZONIA S.A.                                        ,003,Sim,RSFN,BANCO DA AMAZONIA S.A.                                                          ,22/04/2002
04913129,CONFIDENCE CC S.A.                                          ,060,Não,Internet,Confidence Corretora de Câmbio S.A.                                             ,21/09/2010
04913711,BCO DO EST. DO PA S.A.                                      ,037,Sim,RSFN,Banco do Estado do Pará S.A.                                                    ,22/04/2002
05192316,VIA CERTA FINANCIADORA S.A. - CFI                           ,411,Não,RSFN,"Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos            ",22/02/2021
05351887,ZEMA CFI S/A                                                ,359,Não,RSFN,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A                                  ",10/06/2020
05442029,CASA CREDITO S.A. SCM                                       ,159,Não,RSFN,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor                  ,04/09/2017
05463212,COOPCENTRAL AILOS                                           ,085,Sim,RSFN,Cooperativa Central de Crédito - Ailos                                          ,17/05/2010
05491616,COOP CREDITAG                                               ,400,Não,Internet,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT",24/02/2021
05676026,CREDIARE CFI S.A.                                           ,429,Não,RSFN,"Crediare S.A. - Crédito, financiamento e investimento                           ",08/09/2021
05684234,PLANNER SCM S.A.                                            ,410,Não,RSFN,PLANNER SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR S.A.                          ,17/02/2021
05790149,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO  ,114,Sim,RSFN,Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP             ,27/10/2011
05841967,CECM FABRIC CALÇADOS SAPIRANGA                              ,328,Não,RSFN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA,22/03/2021
06271464,BCO BBI S.A.                                                ,036,Sim,RSFN,Banco Bradesco BBI S.A.                                                         ,22/04/2002
07207996,BCO BRADESCO FINANC. S.A.                                   ,394,Sim,RSFN,Banco Bradesco Financiamentos S.A.                                              ,22/04/2002
07237373,BCO DO NORDESTE DO BRASIL S.A.                              ,004,Sim,RSFN,Banco do Nordeste do Brasil S.A.                                                ,22/04/2002
07253654,HEDGE INVESTMENTS DTVM LTDA.                                ,458,Não,RSFN,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.          ,08/09/2021
07450604,BCO CCB BRASIL S.A.                                         ,320,Sim,RSFN,China Construction Bank (Brasil) Banco Múltiplo S/A                             ,22/04/2002
07512441,HS FINANCEIRA                                               ,189,Não,RSFN,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS                        ",05/06/2017
07652226,LECCA CFI S.A.                                              ,105,Não,RSFN,"Lecca Crédito, Financiamento e Investimento S/A                                 ",27/12/2011
07656500,BCO KDB BRASIL S.A.                                         ,076,Não,RSFN,Banco KDB do Brasil S.A.                                                        ,10/04/2006
07679404,BANCO TOPÁZIO S.A.                                          ,082,Não,RSFN,BANCO TOPÁZIO S.A.                                                              ,12/06/2009
07693858,HSCM SCMEPP LTDA.                                           ,312,Não,RSFN,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT,09/02/2021
07799277,VALOR SCD S.A.                                              ,195,Não,RSFN,VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.                                          ,09/08/2021
07853842,CCR DE OURO                                                 ,286,Não,RSFN,COOPERATIVA DE CRÉDITO RURAL DE OURO   SULCREDI/OURO                            ,17/09/2018
07945233,POLOCRED SCMEPP LTDA.                                       ,093,Não,RSFN,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT,09/11/2010
08240446,CCR DE IBIAM                                                ,391,Não,Internet,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM                          ,10/07/2020
08253539,CCR DE SÃO MIGUEL DO OESTE                                  ,273,Não,RSFN,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel       ,24/04/2018
08357240,BCO CSF S.A.                                                ,368,Não,RSFN,Banco CSF S.A.                                                                  ,25/05/2020
08561701,PAGSEGURO S.A.                                              ,290,Não,RSFN,Pagseguro Internet S.A.                                                         ,07/11/2018
08609934,MONEYCORP BCO DE CÂMBIO S.A.                                ,259,Não,RSFN,MONEYCORP BANCO DE CÂMBIO S.A.                                                  ,27/01/2020
08673569,F D GOLD DTVM LTDA                                          ,395,Não,Internet,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                 ,01/12/2020
09089356,GERENCIANET                                                 ,364,Não,RSFN,GERENCIANET S.A.                                                                ,16/03/2020
09105360,ICAP DO BRASIL CTVM LTDA.                                   ,157,Não,RSFN,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.                 ,12/02/2016
09210106,SOCRED SA - SCMEPP                                          ,183,Não,RSFN,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P,12/06/2017
09274232,STATE STREET BR S.A. BCO COMERCIAL                          ,014,Não,RSFN,STATE STREET BRASIL S.A. ? BANCO COMERCIAL                                      ,08/08/2008
09313766,CARUANA SCFI                                                ,130,Não,RSFN,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO               ",12/08/2013
09464032,MIDWAY S.A. - SCFI                                          ,358,Não,RSFN,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                             ",01/02/2021
09512542,CODEPE CVC S.A.                                             ,127,Não,Internet,Codepe Corretora de Valores e Câmbio S.A.                                       ,09/11/2012
09516419,BCO ORIGINAL DO AGRO S/A                                    ,079,Não,RSFN,Banco Original do Agronegócio S.A.                                              ,25/07/2008
09554480,SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS S.A.  ,340,Não,RSFN,Super Pagamentos e Administração de Meios Eletrônicos S.A.                      ,25/09/2019
10264663,BANCOSEGURO S.A.                                            ,081,Não,RSFN,BancoSeguro S.A.                                                                ,24/10/2008
10398952,CRESOL CONFEDERAÇÃO                                         ,133,Sim,RSFN,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E,02/05/2016
10573521,MERCADO PAGO                                                ,323,Não,RSFN,MERCADOPAGO.COM REPRESENTACOES LTDA.                                            ,24/06/2019
10664513,BCO AGIBANK S.A.                                            ,121,Sim,RSFN,Banco Agibank S.A.                                                              ,04/04/2012
10690848,BCO DA CHINA BRASIL S.A.                                    ,083,Sim,RSFN,Banco da China Brasil S.A.                                                      ,14/07/2009
10853017,GET MONEY CC LTDA                                           ,138,Não,Internet,Get Money Corretora de Câmbio S.A.                                              ,14/07/2014
10866788,BCO BANDEPE S.A.                                            ,024,Não,RSFN,Banco Bandepe S.A.                                                              ,22/04/2002
11165756,GLOBAL SCM LTDA                                             ,384,Não,RSFN,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO,13/10/2020
11285104,BIORC FINANCEIRA - CFI S.A.                                 ,426,Não,RSFN,"Biorc Financeira - Crédito, Financiamento e Investimento S.A.                   ",21/05/2021
11476673,BANCO RANDON S.A.                                           ,088,Não,RSFN,BANCO RANDON S.A.                                                               ,03/08/2020
11495073,OM DTVM LTDA                                                ,319,Não,Internet,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                          ,01/03/2019
11581339,MONEY PLUS SCMEPP LTDA                                      ,274,Não,RSFN,MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORT,10/09/2019
11703662,TRAVELEX BANCO DE CÂMBIO S.A.                               ,095,Não,RSFN,Travelex Banco de Câmbio S.A.                                                   ,22/06/2010
11758741,BANCO FINAXIS                                               ,094,Não,RSFN,Banco Finaxis S.A.                                                              ,23/08/2010
11970623,BCO SENFF S.A.                                              ,276,Não,RSFN,BANCO SENFF S.A.                                                                ,12/06/2018
12865507,BRK S.A. CFI                                                ,092,Não,RSFN,"BRK S.A. Crédito, Financiamento e Investimento                                  ",01/07/2010
13009717,BCO DO EST. DE SE S.A.                                      ,047,Sim,RSFN,Banco do Estado de Sergipe S.A.                                                 ,22/04/2002
13059145,BEXS BCO DE CAMBIO S.A.                                     ,144,Não,RSFN,BEXS BANCO DE CÂMBIO S/A                                                        ,23/05/2016
13140088,ACESSO SOLUCOES PAGAMENTO SA                                ,332,Não,RSFN,Acesso Soluções de Pagamento S.A.                                               ,16/08/2019
13203354,FITBANK PAGAMENTOS ELETRONICOS S.A.                         ,450,Não,RSFN,FITBANK PAGAMENTOS ELETRONICOS S.A.                                             ,30/06/2021
13220493,BR PARTNERS BI                                              ,126,Não,RSFN,BR Partners Banco de Investimento S.A.                                          ,04/01/2013
13293225,ÓRAMA DTVM S.A.                                             ,325,Não,RSFN,Órama Distribuidora de Títulos e Valores Mobiliários S.A.                       ,31/05/2019
13370835,BPP IP S.A.                                                 ,301,Não,RSFN,BPP Instituição de Pagamento S.A.                                               ,26/09/2018
13486793,BRL TRUST DTVM SA                                           ,173,Não,RSFN,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.                   ,28/11/2016
13673855,FRAM CAPITAL DTVM S.A.                                      ,331,Não,RSFN,Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.                ,27/09/2019
13720915,BCO WESTERN UNION                                           ,119,Não,RSFN,Banco Western Union do Brasil S.A.                                              ,10/10/2011
13884775,HUB PAGAMENTOS                                              ,396,Não,RSFN,HUB PAGAMENTOS S.A                                                              ,13/08/2020
14190547,CAMBIONET CC LTDA                                           ,309,Não,Internet,CAMBIONET CORRETORA DE CÂMBIO LTDA.                                             ,21/11/2018
14388334,PARANA BCO S.A.                                             ,254,Sim,RSFN,PARANÁ BANCO S.A.                                                               ,22/04/2002
14511781,BARI CIA HIPOTECÁRIA                                        ,268,Não,Internet,BARI COMPANHIA HIPOTECÁRIA                                                      ,21/12/2017
15111975,IUGU IP S.A.                                                ,401,Não,RSFN,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.                                              ,06/05/2021
15114366,BCO BOCOM BBM S.A.                                          ,107,Sim,RSFN,Banco Bocom BBM S.A.                                                            ,22/04/2002
15173776,BCO CAPITAL S.A.                                            ,412,Sim,RSFN,BANCO CAPITAL S.A.                                                              ,22/04/2002
15357060,BCO WOORI BANK DO BRASIL S.A.                               ,124,Sim,RSFN,Banco Woori Bank do Brasil S.A.                                                 ,09/08/2012
15581638,FACTA S.A. CFI                                              ,149,Não,RSFN,Facta Financeira S.A. - Crédito Financiamento e Investimento                    ,08/07/2015
16501555,STONE PAGAMENTOS S.A.                                       ,197,Não,RSFN,Stone Pagamentos S.A.                                                           ,18/10/2017
16927221,AMAZÔNIA CC LTDA.                                           ,313,Não,Internet,AMAZÔNIA CORRETORA DE CÂMBIO LTDA.                                              ,28/08/2020
16944141,BROKER BRASIL CC LTDA.                                      ,142,Não,RSFN,Broker Brasil Corretora de Câmbio Ltda.                                         ,23/06/2015
17184037,BCO MERCANTIL DO BRASIL S.A.                                ,389,Sim,RSFN,Banco Mercantil do Brasil S.A.                                                  ,22/04/2002
17298092,BCO ITAÚ BBA S.A.                                           ,184,Não,RSFN,Banco Itaú BBA S.A.                                                             ,22/04/2002
17351180,BCO TRIANGULO S.A.                                          ,634,Sim,RSFN,BANCO TRIANGULO S.A.                                                            ,22/04/2002
17352220,SENSO CCVM S.A.                                             ,545,Não,Internet,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A                             ,27/09/2010
17453575,ICBC DO BRASIL BM S.A.                                      ,132,Não,RSFN,ICBC do Brasil Banco Múltiplo S.A.                                              ,26/09/2013
17772370,VIPS CC LTDA.                                               ,298,Não,Internet,Vip's Corretora de Câmbio Ltda.                                                 ,15/08/2018
17826860,BMS SCD S.A.                                                ,377,Não,RSFN,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.                                            ,01/10/2020
18188384,CREFAZ SCMEPP LTDA                                          ,321,Não,RSFN,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT,11/06/2019
18236120,NU PAGAMENTOS - IP                                          ,260,Não,RSFN,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO                                   ,10/10/2017
18520834,UBS BRASIL BI S.A.                                          ,129,Não,RSFN,UBS Brasil Banco de Investimento S.A.                                           ,12/03/2014
19307785,MS BANK S.A. BCO DE CÂMBIO                                  ,128,Não,RSFN,MS Bank S.A. Banco de Câmbio                                                    ,27/04/2015
19324634,LAMARA SCD S.A.                                             ,416,Não,Internet,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,08/04/2021
20155248,PARMETAL DTVM LTDA                                          ,194,Não,RSFN,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                    ,25/10/2017
21018182,JUNO                                                        ,383,Não,RSFN,BOLETOBANCÁRIO.COM TECNOLOGIA DE PAGAMENTOS LTDA.                               ,09/07/2020
21332862,CARTOS SCD S.A.                                             ,324,Não,RSFN,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.                                         ,16/09/2020
22610500,VORTX DTVM LTDA.                                            ,310,Não,RSFN,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                      ,18/10/2018
22896431,PICPAY                                                      ,380,Não,RSFN,PICPAY SERVICOS S.A.                                                            ,15/10/2020
23522214,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO                      ,163,Não,RSFN,Commerzbank Brasil S.A. - Banco Múltiplo                                        ,10/08/2016
23862762,WILL FINANCEIRA S.A.CFI                                     ,280,Não,RSFN,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                      ",10/05/2018
24074692,GUITTA CC LTDA                                              ,146,Não,Internet,GUITTA CORRETORA DE CAMBIO LTDA.                                                ,20/05/2015
24537861,FFA SCMEPP LTDA.                                            ,343,Não,RSFN,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,12/11/2019
26563270,CCR DE PRIMAVERA DO LESTE                                   ,279,Sim,RSFN,COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE                              ,05/06/2018
27098060,BANCO DIGIO                                                 ,335,Não,RSFN,Banco Digio S.A.                                                                ,25/11/2019
27214112,AL5 S.A. CFI                                                ,349,Não,RSFN,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                  ",24/10/2019
27302181,CRED-UFES                                                   ,427,Não,RSFN,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO ,26/04/2021
27351731,REALIZE CFI S.A.                                            ,374,Não,RSFN,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.                              ",16/09/2020
27652684,GENIAL INVESTIMENTOS CVM S.A.                               ,278,Não,RSFN,Genial Investimentos Corretora de Valores Mobiliários S.A.                      ,14/05/2018
27842177,IB CCTVM S.A.                                               ,271,Não,RSFN,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.                      ",26/02/2018
28127603,BCO BANESTES S.A.                                           ,021,Sim,RSFN,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO                                 ,22/04/2002
28195667,BCO ABC BRASIL S.A.                                         ,246,Sim,RSFN,Banco ABC Brasil S.A.                                                           ,22/04/2002
28650236,BS2 DTVM S.A.                                               ,292,Não,RSFN,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.                         ,24/10/2018
28719664,Balcão B3                          ,n/a,Não,RSFN,Sistema do Balcão B3                                                            ,22/04/2002
29011780,CIP C3                             ,n/a,Não,RSFN,Câmara Interbancária de Pagamentos - CIP C3                                     ,30/01/2012
29030467,SCOTIABANK BRASIL                                           ,751,Não,RSFN,Scotiabank Brasil S.A. Banco Múltiplo                                           ,22/04/2002
29162769,TORO CTVM S.A.                                              ,352,Não,RSFN,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                            ,29/11/2019
30306294,BANCO BTG PACTUAL S.A.                                      ,208,Sim,RSFN,Banco BTG Pactual S.A.                                                          ,22/04/2002
30680829,NU FINANCEIRA S.A. CFI                                      ,386,Não,RSFN,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento         ",12/01/2021
30723886,BCO MODAL S.A.                                              ,746,Sim,RSFN,Banco Modal S.A.                                                                ,22/04/2002
31597552,BCO CLASSICO S.A.                                           ,241,Sim,RSFN,BANCO CLASSICO S.A.                                                             ,22/04/2002
31749596,IDEAL CTVM S.A.                                             ,398,Não,RSFN,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                           ,11/01/2021
31872495,BCO C6 S.A.                                                 ,336,Não,RSFN,Banco C6 S.A.                                                                   ,31/01/2019
31880826,BCO GUANABARA S.A.                                          ,612,Sim,RSFN,Banco Guanabara S.A.                                                            ,22/04/2002
31895683,BCO INDUSTRIAL DO BRASIL S.A.                               ,604,Sim,RSFN,Banco Industrial do Brasil S.A.                                                 ,22/04/2002
32062580,BCO CREDIT SUISSE S.A.                                      ,505,Sim,RSFN,Banco Credit Suisse (Brasil) S.A.                                               ,22/04/2002
32402502,QI SCD S.A.                                                 ,329,Não,RSFN,QI Sociedade de Crédito Direto S.A.                                             ,30/04/2019
32648370,FAIR CC S.A.                                                ,196,Não,Internet,FAIR CORRETORA DE CAMBIO S.A.                                                   ,11/09/2017
32997490,CREDITAS SCD                                                ,342,Não,RSFN,Creditas Sociedade de Crédito Direto S.A.                                       ,26/07/2019
33042151,BCO LA NACION ARGENTINA                                     ,300,Sim,RSFN,Banco de la Nacion Argentina                                                    ,22/04/2002
33042953,CITIBANK N.A.                                               ,477,Sim,RSFN,Citibank N.A.                                                                   ,22/04/2002
33132044,BCO CEDULA S.A.                                             ,266,Sim,RSFN,BANCO CEDULA S.A.                                                               ,22/04/2002
33147315,BCO BRADESCO BERJ S.A.                                      ,122,Sim,RSFN,Banco Bradesco BERJ S.A.                                                        ,08/11/2011
33172537,BCO J.P. MORGAN S.A.                                        ,376,Sim,RSFN,BANCO J.P. MORGAN S.A.                                                          ,22/04/2002
